date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,consumer_complaint_narrative,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
03/19/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"XXXX has claimed I owe them {$27.00} for XXXX years despite the PROOF of PAYMENT I sent them : canceled check and their ownPAID INVOICE for {$27.00}! 
They continue to insist I owe them and collection agencies are after me. 
How can I stop this harassment for a bill I already paid four years ago? 
",,"Diversified Consultants, Inc.",NY,121XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290516
03/19/2015,Consumer Loan,Vehicle loan,Managing the loan or lease,,"Due to inconsistencies in the amount owed that I was told by M & T Bank and the amount that was reported to the credit reporting agencies, I was advised to write a good will letter in order to address the issue and request the negative entry be removed from my credit report all together. I had a vehicle that was stolen and it was declared a total loss by insurance company. The insurance company and the GAP insurancw companypaid the outstanding balance of the loan, but I was told by M & T Bank that there was still a balance due on the loan. In good faith, without having received any proof as to why there was still a balance, I made a partial payment towards the remaining debt. I then sent the goodwill letter still offering to pay the remainder of the debt, but in exchange for the removal of the negative entry on my credit report. At one point, in XXXX 2015, per my credit monitoring agency, it showed a delinquent balance of {$0.00}, but when I checked my credit report again on XXXX XXXX 2015, there was a delinquent balance of {$1400.00}. The monies from the GAP insurance and my insurance company has been paid, M & T Bank says that I still owe {$620.00}, of which {$210.00} has already been paid. I contacted M & T Bank via return receipt mail, but I have not been given the courtesy of a response yet. 
",,M&T Bank Corporation,VA,221XX,Servicemember,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290492
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"In XX/XX/XXXX my wages that I earned at my job decreased by almost half, by XX/XX/XXXX I knew I was in trouble with my home loan. I began contacting WFB whom my home loan is with, for assitance and options. 
In early XX/XX/XXXX I began the Loan Modification process with Wells Fargo Bank. I was told that they would not assist me with anything financial on my home loan until I fell 90 days behind, though at the time I started to inquire for assistance from WFB I was only a few weeks behind. So, I began working with a program called XXXX. They approved me for a variety of assistence and reached out to Wells Fargo Bank to determine what they could assist with. Wells Fargo then turned down the assistance from XXXX and finally offered to do a Loan Modification for me. The outcome was totally unknow about what I would be offered in the end by WFB for assistance. Wells Fargo lost my paperwork twice during this process, so it took 2 months from the time I started to the time my paperwork began to be processed for some kind of approval. In XX/XX/XXXX I was in a trial period of 3 months of payments based on a slightly modified amount. Roughly {$75.00} less than what I was paying on my original payment. However, my caseworker with WFB, failed to tell me that since the payments during this time were not the full amount of the original mortgage payment so they were not applied to the loan. I discovered this in XX/XX/XXXX when I was told by a creditor with XXXX that she could n't restore my line of credit because of something to do with my mortgage. I then called and found this out. My caseworker at WFB then told me it was n't her responsibility to tell me this information. I told her that she could have told me that if I could come up with the remaining amount of {$75.00} then the payments would be applied. Instead, she chose to withhold this information and damage my credit even further. Now we are into 5 months ( including the 90 days WFB told me I had to fall behind until they would help me ) without an applied payment to my home loan, going on 6 months. 
More paperwork was lost in XXXX as the modification was being finalized and my loan modification did n't go through until XX/XX/XXXX. I spoke to a lawyer that is working on a class-action lawsuit against WFB for people in a similar situation and said this paper loss is typical. 
Wells Fargo did not reduce the interest rate, but they did reduce the payment by less than {$100.00} and the payments I was behind went back into the loan. 
My property taxes also fell behind in my escrow account at this time because there was no payment on the loan. So, I am behind on my property taxes, have damaged credit, and and I am not in any better payment situation than I was. 
They can not give me a reason on why they rejected XXXX assistance. I was originally told they were not an approved agency but on a later phone call to Wells Fargo Bank I was told that they work with that program often and the WFB employee could not understand why they would reject the help. I also spoke with XXXX and they said that Wells Fargo works with this program all the time and could n't understand why they would do this. 
I feel that I have been taken advantage of by Wells Fargo and would like to pursue legal action against them based on negligence. 
Although my payments are back on track I am not making much more money now than I was before so it is only a matter of time before something like this happens again if something unforeseen happens to my life that affects my finances. 
",,Wells Fargo & Company,CA,946XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,Yes,1290524
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I have an open and current mortgage with Chase Bank # XXXX. Chase is reporting the loan payments to XXXX but XXXX is surpressing the information and reporting the loan as Discharged in BK. This mortgage was reaffirmed in a Chapter XXXX BK discharged dated XXXX/XXXX/2013. Chase keeps referring to BK Law for Chapter XXXX and we keep providing documentation for Chapter XXXX, and the account should be open and current with all the payments 
",,JPMorgan Chase & Co.,CA,900XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,Yes,1290253
03/19/2015,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,"XXXX was submitted XX/XX/XXXX. At the time I submitted this complaint, I had dealt with Rushmore Mortgage directly endeavoring to get them to stop the continuous daily calls I was receiving trying to collect on a mortgage for which I was not responsible due to bankruptcy. They denied having knowledge of the bankruptcy, even though I had spoken with them about it repeatedly and had written them repeatedly referencing the bankruptcy requesting them to cease the pursuit, they continued to do so. When they were unable to trick me into paying, force me into paying in retaliation they placed reported to my credit bureaus a past due mortgage amount that had been discharged in Federal Court. On XX/XX/XXXX Rushmore responded the referenced complaint indicating that they would remove the reporting from my bureau, yet it is still there now in XX/XX/XXXX. I would like them to remove it immediately and send me a letter indicating that it should not have been there in the first place and they are going to remove it from all my bureaus. Rushmore, when speaking to me, represented themselves as the new note holder, but when CFPB was involved, they identified themselves as the servicing agency for XXXX XXXX XXXX. This credit bullying and racial discrimination practices is damaging to anyone who is exposed to these tactics and this needs to stop. Them denying their intent and then walking away with no penalties of any kind is one of the reasons it continues. Please assist me in procuring the resolution once and for all. 
",,Rushmore Loan Management Services LLC,CA,956XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,Yes,1292137
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Experian is reporting my OPEN and CURRENT Mortgage loan with XXXX as XXXX in BK. XXXX is reporting the monthly payments but Experian is supressing the information and refuses to accurately report the payments and show the account is Open. This debt was Officially reinstated in a Chapter XXXX BK. This is NOT a Chapter XXXX BK and Experian has no legal right to not rport the current status of this mortgage 
",Company chooses not to provide a public response,Experian,CA,900XX,Older American,Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1290254
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"This complaint is against Wells Fargo Bank for violations of the terms and conditions of Federal government 's mortgage modification program ( HARP ). Violations of the law include but are not limited to the following:1 ) A blatant miscalculation of income. ( Adding a 25 % increase in income on a household contributor even when it was not supported by fact, law, or the documents submitted ) 2 ) Taking longer than XXXX days to deny the appeal. 
3 ) Not following the guidelines for the application and appeal process set forth by the Federal government for loan modifications. 
4 ) Wells Fargo falsely falsely accused customer of not submitting enough documentation to support appeal of original denial. 
5 ) Customer we given false and conflicting reasons for denial. 
",,Wells Fargo & Company,CA,931XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290532
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I spoke to XXXX of green tree representatives on XXXX XXXX XXXX, 2014 about the annual escrow acct disclosure statement in reference to the PMI on my loan I recieved. According to my original documents with XXXX my PMI should be {$120.00}. However the loan was sold to Green tree. About XXXX months ago I noticed that Green tree is deducting out my escrow acct {$220.00} which i never agree to pay to Green tree, I have the supporting documents of what i signed in referance to this loan and the terms of the PMI. I would like this to be taken care of as soon as possible, as it stresses me out to think that Green tree is XXXX me off. I have asked and i expect a refund for all this time that i have been paying the wrong amount. I called Green tree a handful of times about this issue i have also fax them a letter showing my supporting documents and dont believe that now after more than 60 days of calling, and writing to them and this has still not been taken care of. It is Now XXXX XXXX which is more than enough time since this was brought their attention! This is XXXX more attemp to try and get a honest and fair response. I dont believe green tree is handleing this in a professional manner and I am very disappointed at not getting any responce at all about this matter. In all honesty it is looking to me that green tree has made a mistake here and is not ready to fix it and compensate me because if its was something i did owe on PMI they would have brought proof to me quickly. I would appriciate any kind of attempt to fix this 
",,Ditech Financial LLC,CA,948XX,,Consent provided,Web,03/19/2015,Closed with non-monetary relief,Yes,No,1290534
03/19/2015,Credit card,,Other,,"i opened XXXX Bank of America credit cards 15-20 years ago and the interest on the account is very low, some time 7 years ago or so i got a notice that my interest was changing and going up to prime plus 2 % i think.prime was going up back then, and several banks did this, or you had a option to close the account, and stay with the old terms and cond and lock in the interest rate till it was paid off.so the new terms and cond i was not accepting.i closed all XXXX accounts and have made payments since then on time never late.my history will show this.i each month for the past 5 years plus i schedule all my payments online on the XXXX of ea month and get a conformation number that the payment has been scheduled.on XXXX i did this to XXXX-accounts as i have done for 5-years, got a conformation number on all transactions.XXXX payment was due XXXX get a call at my home XXXX from a very rude man with a XXXX # on caller ID and says he is calling from XXXX card services, and my payment was late, i have a late charge, i have not meant my terms and cond and i was being charged off and IRS was getting sent a statement.i XXXX thought it was a scam. then he tells me that XXXX is owned by Bank of America he still was nasty, threaten me over now 7-days past due.i got nasty with him, explained i scheduled my payments, and i have a conformation # and he did not care.after 1hr plus with him haurasing me, i hung up and called Bank of America customer service, where after 6.5hrs later on the phone with people i get told from the internet dept that they saw i scheduled all my payments, they said Bank of America was wrong here,100 % but he did not know how to fix problem.apparently some time the XXXX week in XXXX they put in a new billing system, and when they did a system update, they took all XXXX accounts and put them in a un active position, so my payments scheduled were there but they could not not find my accounts any more to apply payment..i made them on XXXX XXXX, yet on XXXX the new system could not apply my payment.i had no way of knowing this, i find out that all XXXX accounts are this way now, when i ask them to fix this issue, they have no idea how to fix the problem, the people who installed the new updated system had to input me XXXX then my accounts could be seen.i was suppose to get a call from someone at corp level the next day to address this problem, that never happened, so XXXX i spend another 5 hours on the phone, and by the way i had XXXX-phones going, my XXXX call was on my home phone, where i was put on hold to speak to supervisor,2hrs later never happened, i called on cell phone, and got a supervisor who did nothing for me for 3 hours.i asked for 1-thing never got, i asked for a {$25.00} credit for late fee she refused this, she kept reading notes, puts me on hold comes back with nothing i tried to explain what needed to be done but she would not listen, after 3 hours with her and 12 hours of getting no where, i am filling a complaint, and i also am concern, have not.have not spoken to any attorney yet, but i believe my rights have been violated, when i get a call from XXXX and threaten, and spoke to as i was, and to be told from XXXX XXXX in XXXX AZ internet dept that Bank of America was at fault, and they needed to fix, now i am told XXXX-payments are late i have fees and they refuse any service, or refuse to wave fees, and it is their fault.i have all conformation # and all payments have always been made on time, never late, yet i am getting called at home, threaten, over a Bank of America wrong doing, and i am paying for it now.this is wrong, and i really feel i have been violated in this way.i also found out supervisors i spoke to never recorded that they ever spoke with me, that being XXXX XXXX call center S.Carolina.and she was to call me and never did, and never put in notes she spoke to me this is what i get, and it is not right at all.thank you for your time. 
",Company chooses not to provide a public response,Bank of America,OR,971XX,,Consent provided,Web,03/19/2015,Closed with monetary relief,Yes,Yes,1292209
03/19/2015,Consumer Loan,Vehicle loan,Taking out the loan or lease,,"I applied for a loan with XXXX XXXX and had purchased XXXX vehicle during the month of XXXX 2014. I was told that I would be getting a good deal on the vehicles in which i purchased. I later found out that the interest rate charged for the loans at the time was almost XXXX times that of the average consumer for the credit score that I had and when I came back to speak to the finance manager. The dealership had let her go for fudging many of the loans and jacking up many customers interest in order to make a higher commission and she was no longer employed with the company due to her increasing many loans on the interest that some of their consumers were paying. The dealership as of today 's date has never contacted me and had i not inquired I would have never known the truth. When I applied my credit score was showing XXXX approximately and thought that I would get the lowest interest rate at the dealership offered but instead I received an interest rate that was nearly XXXX of that of the regular consumer. I am requesting an investigation on the lending of loans and services of this company based on the following Discrimination based on race, and color, gender for I was charged a higher rate than other consumers of a different race, gender or color I request an immediate investigation on the loans that were processed during the time that I applied and it will show this to be a everyday factor practice based on race and to investigate the transactions of this company and how they are advertising a certain price and then selling their vehicles for more than the advertised price. It is like a bait and switch on the consumer. Predatory lending has clearly been an everyday factor in order for the finance department to make a better commissions on the consumer who is not aware of how the process works. I was charged a higher rate for no reason other than greed. Fair and accurate transaction was not taken into account by dealership. Equal credit opportunity act has been was not taken into account. Gramm leach biley act was not taken into account. After purchasing the vehicle I was called back into the office to sign more paperwork again after the vehicle was in my possession for more than a month. I was told that it was necessary in order to get my military discount. I never got the discount on my vehicles and the price of the vehicles was sold for more than they advertised which I later found out from the XXXX ledger. I am still trying to figure out where is the discount and why was I charged a higher interest rate and why did the finance manager deliberately fudge my loan. consumers of a different race who have purchased from this dealership have lower interest rates than mine with lower credit scores than what I had when I purchased my vehicle. As of today 's date their is no discount, higher interest rate, higher price paid for vehicles and the military rate was applied later and went somewhere else for all I know. It is truly a shock to me to see a dealership do this to a consumer. 
",,Hyundai Capital America,MS,392XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1292159
